[KTF] Kernel Telemetry Framework Initialized
{"ktf_event": "THREAD_CREATE", "timestamp": 1, "thread_id": 1, "data1": 4235264, "data2": 0}
{"ktf_event": "THREAD_CREATE", "timestamp": 3, "thread_id": 2, "data1": 4239360, "data2": 0}
{"ktf_event": "THREAD_CREATE", "timestamp": 3, "thread_id": 3, "data1": 4243456, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 3, "thread_id": 1, "data1": 0, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 4, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 4, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 6, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 7, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 7, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 10, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 10, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 10, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 10, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 10, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 10, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 20, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 20, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 20, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 21, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 22, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 22, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 22, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 27, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "IPC_SEND", "timestamp": 27, "thread_id": 2, "data1": 1, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 30, "thread_id": 3, "data1": 2, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 30, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "IPC_RECV", "timestamp": 30, "thread_id": 1, "data1": 2, "data2": 1}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 34, "thread_id": 2, "data1": 1, "data2": 0}
{{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 40, "thread_id": 1, "data1": 3, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 42, "thread_id": 2, "data1": 1, "data2": 0}
{"ktf_event": "SCHEDULER_SWITCH", "timestamp": 50, "thread_id": 3, "data1": 2, "data2": 0}
Unhandled exception: 6
